APPCH:010,A,I30,COU,COU,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I30,COU,ALGOA,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I30,COU,ALGOA,K3,P,C,EE A,L,   ,PI, ,COU,K3,D, ,      ,1561,0172,1650,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I30,HODGS,HODGS,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I30,HODGS,ALGOA,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I30,HODGS,ALGOA,K3,P,C,EE A,L,   ,PI, ,COU,K3,D, ,      ,1561,0172,1650,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I30,TOMAT,TOMAT,K3,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I30,TOMAT,ALGOA,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I30,TOMAT,ALGOA,K3,P,C,EE A,L,   ,PI, ,COU,K3,D, ,      ,1561,0172,1650,0100,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I30, ,CFVQF,K3,P,C,E  I, ,   ,IF, ,IJEF,K3,P,I,      ,1195,0114,    ,    ,J,02500,02000,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I30, ,ALGOA,K3,P,C,E  F, ,   ,CF, ,IJEF,K3,P,I,      ,1195,0054,3000,0060,H,02000,01956,     , ,   ,-300,   ,JE,K3,P,N, ,0,N,S;
APPCH:030,I,I30, ,RW30,K3,P,G,G  M, ,   ,CF, ,IJEF,K3,P,I,      ,1195,0012,3000,0042, ,00601,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I30, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3000,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I30, ,ALGOA,K3,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I30, ,ALGOA,K3,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3000,T010,+,02500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R12,GIBSN,GIBSN,K3,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
